country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",19-05-2025 10:00:00,16.536107,80.594233,SO2,16,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",19-05-2025 10:00:00,16.536107,80.594233,CO,36,42
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",19-05-2025 10:00:00,16.486692,80.699436,PM2.5,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA",19-05-2025 10:00:00,24.82827,92.79525,NO2,12,13
India,Assam,Silchar,"Tarapur, Silchar - PCBA",19-05-2025 10:00:00,24.82827,92.79525,CO,14,28
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",19-05-2025 10:00:00,26.987634,94.636574,OZONE,1,11
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",19-05-2025 10:00:00,26.146529,87.454184,NO2,6,7
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",19-05-2025 10:00:00,14.675886,77.593027,PM2.5,59,91
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",19-05-2025 10:00:00,14.675886,77.593027,PM10,54,86
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",19-05-2025 10:00:00,13.204880,79.097889,PM2.5,47,108
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",19-05-2025 10:00:00,14.465052,78.824187,PM10,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA",19-05-2025 10:00:00,26.2028636,91.70046436,CO,6,8
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",19-05-2025 10:00:00,26.187500,91.744194,SO2,28,39
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",19-05-2025 10:00:00,26.446912,91.439057,CO,14,40
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",19-05-2025 10:00:00,11.654054,92.734055,PM10,5,30
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",19-05-2025 10:00:00,11.654054,92.734055,NO2,33,54
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",19-05-2025 10:00:00,16.9872867,81.7363176,PM2.5,3,47
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-05-2025 10:00:00,25.592539,85.227158,PM2.5,30,78
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-05-2025 10:00:00,25.592539,85.227158,NO2,4,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-05-2025 10:00:00,25.592539,85.227158,SO2,1,14
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-05-2025 10:00:00,25.592539,85.227158,OZONE,67,131
India,Bihar,Patna,"Muradpur, Patna - BSPCB",19-05-2025 10:00:00,25.619651,85.147382,NH3,2,57
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",19-05-2025 10:00:00,25.599486,85.113666,CO,16,36
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",19-05-2025 10:00:00,25.599486,85.113666,OZONE,39,89
India,Bihar,Patna,"Samanpura, Patna - BSPCB",19-05-2025 10:00:00,25.596727,85.085624,PM2.5,37,74
India,Bihar,Patna,"Samanpura, Patna - BSPCB",19-05-2025 10:00:00,25.596727,85.085624,PM10,71,119
India,Bihar,Patna,"Samanpura, Patna - BSPCB",19-05-2025 10:00:00,25.596727,85.085624,NO2,37,51
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",19-05-2025 10:00:00,28.4706914,77.1099364,NO2,26,71
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-05-2025 10:00:00,28.776200,77.051074,NH3,7,18
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-05-2025 10:00:00,28.776200,77.051074,SO2,8,25
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-05-2025 10:00:00,28.776200,77.051074,OZONE,9,184
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",19-05-2025 10:00:00,28.7256504,77.2011573,PM10,NA,NA
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",19-05-2025 10:00:00,28.7256504,77.2011573,CO,50,52
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",19-05-2025 10:00:00,28.5512005,77.2735737,PM2.5,57,187
India,Delhi,Delhi,"DTU, Delhi - CPCB",19-05-2025 10:00:00,28.7500499,77.1112615,NH3,11,13
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",19-05-2025 10:00:00,22.08815,82.13737,SO2,2,27
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",19-05-2025 10:00:00,22.08815,82.13737,CO,48,102
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",19-05-2025 10:00:00,22.368195,82.746431,PM2.5,18,44
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",19-05-2025 10:00:00,22.368195,82.746431,NO2,16,22
