country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","09-07-2026 18:00:00",23.221714,72.654328,OZONE,5,16,8
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","09-07-2026 18:00:00",23.59315,72.372792,CO,70,70,70
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","09-07-2026 18:00:00",22.248853,70.776774,PM2.5,23,80,51
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","09-07-2026 18:00:00",22.248853,70.776774,SO2,8,11,10
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","09-07-2026 18:00:00",22.248853,70.776774,CO,88,90,89
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","09-07-2026 18:00:00",21.217779,72.834787,OZONE,4,5,4
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","09-07-2026 18:00:00",28.530785,77.271255,CO,18,26,22
India,Delhi,Delhi,"Rohini, Delhi - DPCC","09-07-2026 18:00:00",28.732528,77.11992,CO,44,47,46
India,Delhi,Delhi,"Rohini, Delhi - DPCC","09-07-2026 18:00:00",28.732528,77.11992,OZONE,3,4,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","09-07-2026 18:00:00",28.672342,77.31526,NH3,6,8,7
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","09-07-2026 18:00:00",28.73282,77.170633,SO2,5,10,6
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","09-07-2026 18:00:00",28.73282,77.170633,CO,36,43,39
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","09-07-2026 18:00:00",28.570173,76.933762,PM2.5,2,63,25
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","09-07-2026 18:00:00",28.570173,76.933762,PM10,14,55,28
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","09-07-2026 18:00:00",28.570173,76.933762,NO2,14,29,19
India,Delhi,Delhi,"Mundka, Delhi - DPCC","09-07-2026 18:00:00",28.684678,77.076574,PM2.5,2,73,24
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","09-07-2026 18:00:00",28.699793,77.165453,PM10,1,91,35
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","09-07-2026 18:00:00",28.647622,77.315809,CO,60,100,81
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-07-2026 18:00:00",28.695381,77.181665,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Narela, Delhi - DPCC","09-07-2026 18:00:00",28.822836,77.101981,PM10,NA,NA,NA
India,Delhi,Delhi,"Narela, Delhi - DPCC","09-07-2026 18:00:00",28.822836,77.101981,CO,40,56,49
India,Delhi,Delhi,"JNU, Delhi - DPCC","09-07-2026 18:00:00",28.540721,77.168544,NH3,1,11,4
India,Delhi,Delhi,"JNU, Delhi - DPCC","09-07-2026 18:00:00",28.540721,77.168544,SO2,1,2,1
India,Delhi,Delhi,"JNU, Delhi - DPCC","09-07-2026 18:00:00",28.540721,77.168544,CO,18,24,21
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","09-07-2026 18:00:00",28.4706914,77.1099364,NO2,18,30,24
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","09-07-2026 18:00:00",28.4706914,77.1099364,NH3,NA,NA,NA
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-07-2026 18:00:00",28.60909,77.0325413,PM10,38,54,44
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-07-2026 18:00:00",28.60909,77.0325413,NO2,14,75,40
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-07-2026 18:00:00",28.60909,77.0325413,CO,48,61,51
